sku,date,pred
S004_P0017,2024-01-08,21.6685791015625
S004_P0018,2024-01-02,0.0
S004_P0018,2024-01-03,2.5976951122283936
S004_P0018,2024-01-04,0.2156383395195007
S004_P0018,2024-01-05,0.0
S004_P0018,2024-01-06,3.3691294193267822
S004_P0018,2024-01-07,21.705894470214844
S004_P0018,2024-01-08,12.30324935913086
S004_P0019,2024-01-02,6.725931167602539
S004_P0019,2024-01-03,4.600200653076172
S004_P0019,2024-01-04,5.557337284088135
S004_P0019,2024-01-05,7.792549133300781
S004_P0019,2024-01-06,0.0
S004_P0019,2024-01-07,17.26327133178711
S004_P0019,2024-01-08,2.853590726852417
S004_P0020,2024-01-02,21.457765579223636
S004_P0020,2024-01-03,11.339649200439451
S004_P0020,2024-01-04,0.0
S004_P0020,2024-01-05,0.0
S004_P0020,2024-01-06,0.0
S004_P0020,2024-01-07,0.0
S004_P0020,2024-01-08,0.0
S005_P0001,2024-01-02,0.0
S005_P0001,2024-01-03,9.17308235168457
S005_P0001,2024-01-04,0.0
S005_P0001,2024-01-05,2.070417881011963
S005_P0001,2024-01-06,58.81370162963867
S005_P0001,2024-01-07,3.253249406814575
S005_P0001,2024-01-08,29.54279136657715
S005_P0002,2024-01-02,0.5071393847465515
S005_P0002,2024-01-03,29.76872444152832
S005_P0002,2024-01-04,18.04775047302246
S005_P0002,2024-01-05,9.804855346679688
S005_P0002,2024-01-06,58.0882682800293
S005_P0002,2024-01-07,22.8651065826416
S005_P0002,2024-01-08,9.05119514465332
S005_P0003,2024-01-02,0.0
S005_P0003,2024-01-03,0.0
S005_P0003,2024-01-04,0.0
S005_P0003,2024-01-05,1.791570067405701
S005_P0003,2024-01-06,0.0
S005_P0003,2024-01-07,47.26292037963867
S005_P0003,2024-01-08,22.26634407043457
S005_P0004,2024-01-02,1.202616810798645
S005_P0004,2024-01-03,4.319496154785156
S005_P0004,2024-01-04,8.75224494934082
S005_P0004,2024-01-05,9.609424591064451
S005_P0004,2024-01-06,3.434361457824707
S005_P0004,2024-01-07,14.924846649169922
S005_P0004,2024-01-08,17.617300033569336
S005_P0005,2024-01-02,0.0
S005_P0005,2024-01-03,9.417903900146484
S005_P0005,2024-01-04,0.0
S005_P0005,2024-01-05,46.16309356689453
S005_P0005,2024-01-06,28.42146110534668
S005_P0005,2024-01-07,15.184414863586426
S005_P0005,2024-01-08,46.5293083190918
S005_P0006,2024-01-02,16.989864349365234
S005_P0006,2024-01-03,16.858402252197266
S005_P0006,2024-01-04,74.20852661132812
S005_P0006,2024-01-05,5.454424858093262
S005_P0006,2024-01-06,60.755496978759766
S005_P0006,2024-01-07,60.55849075317383
S005_P0006,2024-01-08,28.343700408935547
S005_P0007,2024-01-02,11.279378890991213
S005_P0007,2024-01-03,0.0
S005_P0007,2024-01-04,20.910215377807617
S005_P0007,2024-01-05,4.187229633331299
S005_P0007,2024-01-06,28.412721633911133
S005_P0007,2024-01-07,0.0
S005_P0007,2024-01-08,0.0
S005_P0008,2024-01-02,0.0
S005_P0008,2024-01-03,3.638523578643799
S005_P0008,2024-01-04,34.150291442871094
S005_P0008,2024-01-05,47.77716064453125
S005_P0008,2024-01-06,26.409582138061523
S005_P0008,2024-01-07,28.693716049194336
S005_P0008,2024-01-08,0.0
S005_P0009,2024-01-02,0.0
S005_P0009,2024-01-03,22.736825942993164
S005_P0009,2024-01-04,5.857990264892578
S005_P0009,2024-01-05,0.0
S005_P0009,2024-01-06,19.896631240844727
S005_P0009,2024-01-07,38.81629943847656
S005_P0009,2024-01-08,25.52033233642578
S005_P0010,2024-01-02,0.4281298518180847
S005_P0010,2024-01-03,1.9456391334533687
S005_P0010,2024-01-04,18.954814910888672
S005_P0010,2024-01-05,5.972198009490967
S005_P0010,2024-01-06,57.36990737915039
S005_P0010,2024-01-07,30.78142738342285
S005_P0010,2024-01-08,26.94379425048828
S005_P0011,2024-01-02,10.995512962341309
S005_P0011,2024-01-03,27.777618408203125
S005_P0011,2024-01-04,20.93010139465332
S005_P0011,2024-01-05,27.030879974365234
S005_P0011,2024-01-06,8.876239776611328
S005_P0011,2024-01-07,14.281414031982422
S005_P0011,2024-01-08,0.0
S005_P0012,2024-01-02,0.0
S005_P0012,2024-01-03,0.0
S005_P0012,2024-01-04,59.9605712890625
S005_P0012,2024-01-05,32.60014343261719
S005_P0012,2024-01-06,39.06691360473633
S005_P0012,2024-01-07,68.78589630126953
S005_P0012,2024-01-08,102.25203704833984
S005_P0013,2024-01-02,0.0
S005_P0013,2024-01-03,29.0372257232666
S005_P0013,2024-01-04,48.75994873046875
S005_P0013,2024-01-05,15.880196571350098
S005_P0013,2024-01-06,44.2627182006836
S005_P0013,2024-01-07,0.0
S005_P0013,2024-01-08,18.484811782836918
S005_P0014,2024-01-02,0.0
S005_P0014,2024-01-03,8.17138957977295
S005_P0014,2024-01-04,6.271357536315918
S005_P0014,2024-01-05,13.88980770111084
S005_P0014,2024-01-06,10.016083717346191
S005_P0014,2024-01-07,0.0
S005_P0014,2024-01-08,32.561397552490234
S005_P0015,2024-01-02,4.3984246253967285
S005_P0015,2024-01-03,24.13013458251953
S005_P0015,2024-01-04,0.0
S005_P0015,2024-01-05,36.0366325378418
S005_P0015,2024-01-06,5.764023303985596
S005_P0015,2024-01-07,38.2980842590332
S005_P0015,2024-01-08,15.320536613464355
S005_P0016,2024-01-02,0.0
